Module,Port,Direction,Width,Signal,Shared_With,Status
core,clk,input,,core_clk,,
core,rst_n,input,,core_rst_n,,
core,data_in,input,[7:0],core_data_in,,
core,valid_in,input,,core_valid_in,,
core,data_out,output,[7:0],core_data_out,,
core,valid_out,output,,core_valid_out,,
bus,clk,input,,bus_clk,,
bus,rst_n,input,,bus_rst_n,,
bus,data_in,input,[7:0],bus_data_in,,
bus,valid_in,input,,bus_valid_in,,
bus,data_out,output,[7:0],bus_data_out,,
bus,valid_out,output,,bus_valid_out,,
uart,clk,input,,uart_clk,,
uart,rst_n,input,,uart_rst_n,,
uart,psel,input,,uart_psel,,
uart,penable,input,,uart_penable,,
uart,pwrite,input,,uart_pwrite,,
uart,paddr,input,[7:0],uart_paddr,,
uart,pwdata,input,[31:0],uart_pwdata,,
uart,prdata,output,[31:0],uart_prdata,,
uart,pready,output,,uart_pready,,
uart,uart_rx,input,,uart_uart_rx,,
uart,uart_tx,output,,uart_uart_tx,,
uart,tx_ready,output,,uart_tx_ready,,
uart,rx_valid,output,,uart_rx_valid,,
uart,rx_data,output,[7:0],uart_rx_data,,
uart,irq,output,,uart_irq,,
timer,clk,input,,timer_clk,,
timer,rst_n,input,,timer_rst_n,,
timer,psel,input,,timer_psel,,
timer,penable,input,,timer_penable,,
timer,pwrite,input,,timer_pwrite,,
timer,paddr,input,[7:0],timer_paddr,,
timer,pwdata,input,[31:0],timer_pwdata,,
timer,prdata,output,[31:0],timer_prdata,,
timer,pready,output,,timer_pready,,
timer,tick,output,,timer_tick,,
timer,timeout,output,,timer_timeout,,
